"type","city","street","cost","area"
"1-Zimmer-Wohnung","München OEZ BMW","Ehrenbreitsteinerstraße 59","550","25"
"3er WG","München Ludwigsvorstadt-Isarvorstadt","Goethestr.","490","14"
"3er WG","München Berg am Laim","Inzeller Weg 1","600","16"
"9er WG","München Schwabing-West","Hohenstaufenstraße 13","290","16"
"2er WG","München Garching","Mühlgasse","390","17"
"8er WG","München Ludwigsvorstadt-Isarvorstadt","Tumblingerstr 16","476","11"
"2er WG","München Au-Haidhausen","St.-Cajetan-Str. 18","750","17"
"1-Zimmer-Wohnung","München Moosach","Riesstraße 65","625","37"
"4er WG","München Schwabing-West","Leopoldstr. 108 a","420","13"
"3er WG","München Bogenhausen","Lisztstraße","550","15"
"7er WG","München Feldmoching","Dülferstr. 56","590","15"
"2er WG","München Moosach","Breslauer Straße 3","630","21"
"5er WG","München Ludwigsvorstadt-Isarvorstadt","Pettenkoferstr.","800","36"
"2er WG","München Neuhausen-Nymphenburg","Bayersdorferstrasse","410","10"
"3er WG","München Schwanthalerhöhe-Laim","Ganghoferstr. 35a","600","14"
"3er WG","München Thalkirchen-Obersendling","Halskestr.","1270","38"
"4er WG","München Neuhausen-Nymphenburg","Nymphenburgerstraße 149","750","20"
"3er WG","München Schwabing-West","Bauerstraße 21","800","22"
"1-Zimmer-Wohnung","München Sendling","Passauerstraße","800","37"
"4er WG","München Sendling","Implerstrasse 001","515","15"
"2er WG","München Trudering","hugo- weiss-str.19","500","14"
"1-Zimmer-Wohnung","München Schwabing-West","Emanuelstr.","700","38"
"4er WG","München Schwabing-Zentrum","Rheinstr.","590","16"
"2er WG","München Maxvorstadt","Schleißheimerstr. 88, Rüc...","720","15"
"3er WG","München Ludwigsvorstadt","Pettenkoferstrasse","480","15"
"4er WG","München Maxvorstadt","Theresienstr.","590","19"
"2er WG","München Obergiesing","Giesinger Bahnhofplatz","580","18"
"2er WG","München Untergiesing-Harlaching","Giesinger Bahnhofplatz","580","18"
"2er WG","München Schwabing-Freimann","Leopoldstraße 124","811","20"
"3er WG","München Altstadt-Lehel","Herzogspitalstraße 1","700","16"
"3er WG","München Au-Haidhausen","Preysingstr. 7","845","16"
"2er WG","München Steinebach-Wörthsee","Etterschlagerstraße","540","20"
"3er WG","München Aubing-Lochhausen-Langwied","Heckenhofer Strasse 8","554","11"
"2er WG","München Neuhausen-Nymphenburg","Wilderich-Lang Str.","480","17"
"4er WG","München Schwabing-West","Giselherstr.","680","11"
"1-Zimmer-Wohnung","München Maxvorstadt","Thorwaldsenstraße 13","660","30"
"2er WG","München Glockenbachviertel Isarvo...","Müllerstraße, 1","573","13"
"1-Zimmer-Wohnung","München Schwabing-Freimann","Admiralbogen Str. 40","370","25"
"2er WG","München Sendling","am Westpark Nähe","600","12"
"3er WG","München Schwabing-Freimann","Ungererstraße 169","470","16"
"1-Zimmer-Wohnung","München Schwabing-West","Clemensstraße 74","797","21"
"1-Zimmer-Wohnung","München Maxvorstadt","Schillerstr. 10","725","18"
"3er WG","München Schwanthalerhöhe-Laim","St. Ulrich Straße 3","720","13"
"2er WG","München Sendling","Albert-Roßhaupter-Str. 72","765","65"
"3er WG","München Maxvorstadt","nahe U Theresienstr","790","14"
"3er WG","München Garching","Münchener Str.","505","18"
"2er WG","München Maxvorstadt","Lothstraße 71","600","20"
"3er WG","München Neuhausen-Nymphenburg","Nibelungenstrasse","870","23"
"2er WG","München Ludwigsvorstadt-Isarvorstadt","Schwanthalerstr. 70","846","11"
"4er WG","München Kr. München - Unterhaching","Riemenschneiderstraße","472","12"
"3er WG","München Aubing-Lochhausen-Langwied","Radolfzellerstr. 0","600","20"
"3er WG","München Aubing-Lochhausen-Langwied","Radolfzellerstr.00","600","20"
"2er WG","München Neuhausen-Nymphenburg","Paschstr.","590","14"
"14er WG","München Ludwigsvorstadt-Isarvorstadt","Bavariaring 47","350","14"
"3er WG","München Altstadt-Lehel","Dianastraße 1","550","15"
"5er WG","München Forstenried-Fürstenried","Graubündenerstr.","350","9"
"1-Zimmer-Wohnung","München Sendling","Passauerstr.","620","27"
"3er WG","München Forstenried-Fürstenried","Basler Straße 70","585","16"
"3er WG","München Bogenhausen","Prinzregentenstraße 149","900","15"
"4er WG","München Schwabing-Freimann","Wallnerstr. 20","580","16"
"2er WG","München Schwanthalerhöhe-Laim","Fürstenriederstr 100","680","18"
"2er WG","München Schwanthalerhöhe-Laim","Schedelstraße 2","775","15"
"2er WG","München Neuhausen-Nymphenburg","Landshuter Allee 166","557","16"
"1-Zimmer-Wohnung","München Bogenhausen","Fritz-Meyer-Weg 55","1080","40"
"3er WG","München Au-Haidhausen","Weißenburger Straße","752","18"
"4er WG","München Sendling","Andechser Straße 5","1060","21"
"3er WG","München Sendling","Implerstrasse","600","14"
"3er WG","München Bogenhausen","Stuntzstr. 51","850","19"
"1-Zimmer-Wohnung","München Sendling","Höglwörther Strasse","610","44"
"3er WG","München Au-Haidhausen","Oefelestraße 3","680","20"
"4er WG","München Bogenhausen","Plankenhofstraße 9a","659","12"
"3er WG","München Ramersdorf-Perlach","Therese-Giehse-Allee","750","20"
"1-Zimmer-Wohnung","München Obergiesing","Schorerstrasse","829","26"
"3er WG","München Schwanthalerhöhe-Laim","00","800","17"
"2er WG","München Maxvorstadt","Lothstr 42","600","18"
"3er WG","München Riem","Caroline Herschel Straße","650","17"
"7er WG","München Feldmoching","Dülferstr. 56","590","15"
"2er WG","München Neuhausen-Nymphenburg","Schulstraße 36","680","19"
"9er WG","München Ramersdorf-Perlach","Hofangerstr.","680","17"
"9er WG","München Ramersdorf-Perlach","Hofangerstr","680","17"
"2er WG","München Maxvorstadt","Schillerstr.","850","15"
"4er WG","München Moosach","Ehrenbreitsteiner Straße 8","700","21"
"3er WG","München Westpark","Cimbernstraße","390","16"
"2er WG","München Ludwigsvorstadt-Isarvorstadt","Auenstr. 44","600","10"
"4er WG","München Ludwigsvorstadt-Isarvorstadt","Baldeplatz","670","12"
"3er WG","München Milbertshofen-Am Hart","Golddistelanger 3","790","12"
"3er WG","München Schwabing-West","Schwabing","350","10"
"1-Zimmer-Wohnung","München Sendling","Kidlerstr. 17a","690","39"
