"type","city","street","cost","area"
"1-Zimmer-Wohnung","München Schwabing-Freimann","Josef-Wirth-Weg 21","633","22"
"4er WG","München Schwanthalerhöhe-Laim","Bergmannstrasse","557","18"
"2er WG","München Schwabing-West","Franz Joseph Straße","575","13"
"4er WG","München Waldperlach","Tannenstraße","490","17"
"3er WG","München Ismaning","Fischerstrasse","430","18"
"3er WG","München Schwanthalerhöhe-Laim","Laimer Platz","633","17"
"2er WG","München Ludwigsvorstadt-Isarvorstadt","Guellstrasse 6","845","20"
"4er WG","München Schwanthalerhöhe-Laim","Ganghoferstraße","560","18"
"2er WG","München Obergiesing","Kesselbergstraße 4","850","20"
"3er WG","München Ramersdorf-Perlach","Ottobrunner Straße 37","720","11"
"3er WG","München Maxvorstadt","Theresienstr. 106","740","25"
"2er WG","München Sendling-Westpark","Garmischerstr. 230","680","18"
"1-Zimmer-Wohnung","München Neuhausen","Hardenbergstraße/Meggendo...","805","30"
"3er WG","München Ismaning ca. 10 min von G...","Fischerstrasse 8","335","12"
"2er WG","München Bogenhausen","Meistersinger 1","400","12"
"1-Zimmer-Wohnung","München Moosach","Ehrenbreitsteinerstraße","650","27"
"2er WG","München Untergiesing-Harlaching","Theodolindenstr 35","690","15"
"1-Zimmer-Wohnung","München Altstadt-Lehel","Widenmeyerstraße 39","680","40"
"2er WG","München Schwanthaler Höhe","Westendstrasse","850","25"
"3er WG","München Maxvorstadt","Luisenstraße 67A","600","18"
"1-Zimmer-Wohnung","München Maxvorstadt","Schellingstrasse","970","35"
"4er WG","München Pasing-Obermenzing","Martin-Buber-Weg 3","500","17"
"2er WG","München Au-Haidhausen","Lothringer Straße 3","800","15"
"1-Zimmer-Wohnung","München Maxvorstadt","Erich kästner Str. 16","1050","33"
"2er WG","München Moosach","Am Kapuzinerhölzl1","750","20"
"4er WG","München Moosach","Feldmochingerstr 23","770","13"
"2er WG","München Sendling","albert-roßhaupter-straße 40a","500","15"
"4er WG","München Milbertshofen-Am Hart","Helene Mayer Ring 14","687","18"
"4er WG","München Milbertshofen-Am Hart","Milbertshofenerstraße 55","795","22"
"4er WG","München Milbertshofen-Am Hart","Milbertshofenerstraße 55","720","13"
"1-Zimmer-Wohnung","München Neuhausen-Nymphenburg","Merianstraße","490","17"
"3er WG","München Maxvorstadt","Nymphenburger Straße 84","620","13"
"3er WG","München Moosach","Gärtnerstraße 35","690","13"
"4er WG","München Schwanthalerhöhe-Laim","Philipp-Loewenfeld-Str","820","18"
"1-Zimmer-Wohnung","München Moosach","Scharnhorststr. 15","997","39"
"3er WG","München Schwabing-West","Kurfürstenplatz 1a","655","17"
"2er WG","München Ludwigsvorstadt-Isarvorstadt","Lindwurmstr. 95","860","18"
"3er WG","München Ludwigsvorstadt-Isarvorstadt","Nahe dem Isartor","645","18"
"4er WG","München Sendling","Engelhardstraße 32","570","16"
"1-Zimmer-Wohnung","München Schwabing-West","Berliner Str., 30","949","45"
"2er WG","München Ludwigsvorstadt-Isarvorstadt","Pettenkoferstraße 00","620","13"
"3er WG","München Moosach","Riesstraße 84","620","15"
"2er WG","München Ludwigsvorstadt-Isarvorstadt","Isartalstr","550","16"
"6er WG","München Allach-Untermenzing","Wilhelm-Zwölfer-Str. 23","600","15"
"7er WG","München Hadern","Roderichstraße 3a","430","13"
"7er WG","München Hadern","Roderichstr. 3a","430","15"
"6er WG","München Pasing-Obermenzing","Nusselstr.","720","14"
"4er WG","München Unterschleissheim","Margaretenanger","500","15"
"14er WG","München Ludwigsvorstadt-Isarvorstadt","Bavariaring 47","350","14"
"3er WG","München Au-Haidhausen","Balanstraße 46","700","17"
"3er WG","München Obergiesing","Tegernseer Landstr.","500","25"
"5er WG","München Munich","Ampfingstrasse, 37","590","20"
"10er WG","München Hadern","Windeckstr","650","29"
"4er WG","München Neuhausen-Nymphenburg","Dietrichstraße","690","23"
"2er WG","München München","Willi-Graf-Strasse, 13","150","13"
"2er WG","München Maxvorstadt","Adelheidstraße 25","700","11"
"2er WG","München Schwabing-Freimann","Osterwaldstr. 88","500","13"
"2er WG","München Schwabing-Freimann","Wilhelm Hertz Strasse 8","750","18"
"4er WG","München Sendling","Karwendelstr. 40","745","12"
"3er WG","München Maxvorstadt","Theresienstraße","696","24"
"5er WG","München Untergiesing","Nahe Candidplatz","405","16"
"2er WG","München Schwabing-West","Leopoldstr","500","19"
"1-Zimmer-Wohnung","München Au-Haidhausen","Franziskanerstraße 16","600","30"
"4er WG","München Milbertshofen-Am Hart","Neuherbergstraße, 32","304","13"
"1-Zimmer-Wohnung","München Untergiesing-Harlaching","Agilolfingerstraße","850","31"
"2er WG","München Schwanthalerhöhe-Laim","Guldeinstraße 52","670","18"
"4er WG","München Schwanthalerhöhe-Laim","Agnes-Bernauer-Str. 5","700","20"
"5er WG","München Schwabing-Freimann","Alt-Schwabing","595","22"
"1-Zimmer-Wohnung","München Parkstadt Solln","Drygalski-Allee","650","36"
"1-Zimmer-Wohnung","München Parkstadt Solln","Drygalski-Allee","650","36"
"4er WG","München Schwabing-West","Hohenzollernstrasse","615","24"
"1-Zimmer-Wohnung","München Bogenhausen","Steinhauser Str. 3","869","27"
"3er WG","München München - Au-Haidhausen","Pariser Strasse, 1","799","20"
"5er WG","München Sendling","Luise Kiesselbach Platz","700","30"
"2er WG","München Laim","Laim","440","10"
"4er WG","München Neuried","Balthasar-Graf-Straße, 4","620","16"
"3er WG","München Hadern","Heiglhofstrasse 66","480","14"
"5er WG","München Neuhausen-Nymphenburg","Hilble str . 40","580","10"
"2er WG","München Neuhausen-Nymphenburg","alfonstr 7","760","16"
"2er WG","München Neuhausen-Nymphenburg","Nymphenburgerstr 107","740","13"
"4er WG","München Hadern","guadinistr 137","720","15"
"2er WG","München Bogenhausen","Denninger 15","70","14"
"5er WG","München Untergiesing-Harlaching","Grünwalderstr. 117","630","12"
"4er WG","München Ludwigsvorstadt-Isarvorstadt","Sommerstraße 56","800","16"
"2er WG","München München-Obermenzing","Schlehbuschstr.15","680","35"
"3er WG","München Ludwigsvorstadt-Isarvorstadt","Fraunhoferstraße 31","600","14"
"3er WG","München Untermenzing","Wollnystr. 1","390","12"
"3er WG","München Sendling","Pfeuferstraße 2","575","12"
"4er WG","München Fasanerie","Joseph-Seifried-Str. 4","520","10"
"4er WG","München Fasanerie","Joseph-Seifried-Str. 4","700","15"
"4er WG","München Fasanerie","Joseph-Seifried-Str. 4","850","26"
"3er WG","München Au-Haidhausen","Ismaninger Straße 7","500","18"
"2er WG","München Aubing-Lochhausen-Langwied","Reichenaustraße 9","550","11"
"4er WG","München Maxvorstadt","Augustenstr., 96","800","14"
"2er WG","München Bogenhausen","Steinhauser Str. 50","990","25"
"3er WG","München Sendling - Westpark","Fürstenrieder Straße 268","485","17"
"4er WG","München Schwanthalerhöhe-Laim","Landsberger Straße","618","14"
"3er WG","München Schwabing-West","Hiltenspergerstraße","570","20"
"5er WG","München Geisenbrunn","Kreuzlinger Str.9","680","24"
"1-Zimmer-Wohnung","München Ludwigsvorstadt-Isarvorstadt","Häberlstraße 10","870","25"
"5er WG","München Obergiesing","Schwandorferstr 13","500","15"
"1-Zimmer-Wohnung","München Schwabing-Freimann","Situlistr","850","32"
"3er WG","München Hadern","Guardinistr. 137","390","9"
"1-Zimmer-Wohnung","München Schwabing-West","Hohenzollernstraße 109","780","17"
"14er WG","München Pasing-Obermenzing","Lanzlottstraße 8","645","10"
"1-Zimmer-Wohnung","München Feldmoching-Hasenbergl","Eduard-Sprangerstr.7","550","16"
"3er WG","München Neuhausen","Arnulf","650","15"
"2er WG","München Westpark","Fürstenrieder Straße","690","21"
"2er WG","München Schwabing-Freimann","Unter der Linde 3","600","20"
"1-Zimmer-Wohnung","München Neuhausen-Nymphenburg","Merianstraße 8","580","17"
"2er WG","München Maxvorstadt","Zieblandstr.","412","10"
"3er WG","München Sendling","An der Stemmerwiese","435","12"
"2er WG","München Milbertshofen-Am Hart","Schleißheimer Str. 251","790","18"
"1-Zimmer-Wohnung","München Neuhausen-Nymphenburg","Merianstrasse 8","550","16"
"3er WG","München Milbertshofen-Am Hart","Rathenaustraße 138","427","12"
"1-Zimmer-Wohnung","München Pasing-Obermenzing","Fritz-Berne-Str. 56","695","29"
"2er WG","München Au-Haidhausen","Tassiloplatz 17","840","15"
"3er WG","München Thalkirchen-Obersendling","Leo-Graetz-Str.","564","17"
"3er WG","München Thalkirchen-Obersendling","Halskestr.","564","17"
"3er WG","München Thalkirchen-Obersendling","Halskestr.","606","22"
"3er WG","München Thalkirchen-Obersendling","Halskestr.","606","22"
"1-Zimmer-Wohnung","München Maxvorstadt","Georgenstraße 113","850","33"
"3er WG","München Maxvorstadt","Georgenstraße","650","14"
"3er WG","München Schwabing-Freimann","Leutkircher Str. 7","890","17"
"2er WG","München Au-Haidhausen","Weißenburgerstr 46","790","15"
"4er WG","München Schwabing-West","Unertlstraße, 40","500","13"
"4er WG","München Sendling","Konrad-Peutinger Str. 3","300","14"
"4er WG","München Schwabing-West","Hiltenspergerstraße 64","360","24"
"3er WG","München Altstadt-Lehel","Platzl 5","300","15"
"4er WG","München Sendling","Lipowskystraße 23","845","20"
"6er WG","München Germering","Herbststr.","660","13"
"1-Zimmer-Wohnung","München Schwanthalerhöhe-Laim","Landsberger Str. 207","600","23"
"2er WG","München München","Landshuter Allee, 110","950","15"
"3er WG","München Milbertshofen-Am Hart","Humperdinckstr","480","15"
"1-Zimmer-Wohnung","München Obergiesing","Pfälzer-Wald-Str. 73","820","28"
"2er WG","München Maxvorstadt","Nymphenburger Straße","800","23"
"2er WG","München Schwabing-West","Auf Anfrage","800","30"
"3er WG","München Sendling","Schaffhauser Straße","540","16"
"1-Zimmer-Wohnung","München Moosach","Feldmochinger Str. 34","800","39"
"2er WG","München Schwabing-West","Ansbacher Straße","743","26"
"5er WG","München Milbertshofen-Am Hart","Am Haselnußstrauch 12","580","14"
"3er WG","München Schwanthalerhöhe-Laim","Friedenheimer Straße","645","21"
"1-Zimmer-Wohnung","München obersendling","Baierbrunner Str. 50","695","19"
"3er WG","München Sendling","August-Zeune-Weg 2","580","9"
"6er WG","München Obergiesing-Fasangarten","Kronacher Straße","422","20"
"9er WG","München Obergiesing","Bodelschwingstraße 21","620","14"
"2er WG","München Schwabing-Freimann","Berliner Straße, 50","270","10"
"4er WG","München Neuhausen-Nymphenburg","Leonrodstr 39","700","20"
"1-Zimmer-Wohnung","München Au-Haidhausen","Dollmannstr 7","985","42"
"2er WG","München Obergiesing","Walchenseeplatz 23","600","18"
"1-Zimmer-Wohnung","München Dreimühlenviertel","Tumblingerstr 56","600","25"
"1-Zimmer-Wohnung","München Schwabing-West","Zentnerstraße 00","660","30"
"2er WG","München Maxvorstadt","Schnorrstr., 6","740","16"
"1-Zimmer-Wohnung","München Schwabing-Freimann","Ungererstrasse 65","1190","43"
"1-Zimmer-Wohnung","München Neuhausen-Nymphenburg","Hübnerstr","500","30"
"1-Zimmer-Wohnung","München München","Therese-Danner-Platz, 4","1030","34"
"3er WG","München Ludwigsvorstadt-Isarvorstadt","Paul Heyse Strasse 17","790","15"
"3er WG","München Schwabing-West","Simmernstraße","620","22"
"2er WG","München Trudering","Ottilienstraße","567","15"
"3er WG","München Schwanthalerhöhe-Laim","Freiburger Platz 3","600","17"
"2er WG","München Obergiesing","Tegernseer Landstraße 15","690","14"
"2er WG","München Maxvorstadt","Luisenstrasse","370","14"
"2er WG","München Au-Haidhausen","Rottenbucher Strasse, 19","845","17"
"4er WG","München Au-Haidhausen","Chorherrstr.6","775","14"
"3er WG","München Moosach","Dachauer Straße 184","510","25"
"4er WG","München Au-Haidhausen","Chorherrstraße 6","980","16"
"4er WG","München Schwabing-Freimann","Situlistr 67","640","28"
"2er WG","München Altstadt-Lehel","Orlandostraße","1200","20"
"3er WG","München Milbertshofen-Am Hart","Wallensteinstraße","500","6"
"1-Zimmer-Wohnung","München Au-Haidhausen","St Cajetan Strasse 4","725","10"
"3er WG","München Schwanthalerhöhe-Laim","Senftenauerstr. 14","670","12"
"1-Zimmer-Wohnung","München Schwabing-Freimann","Admiralbogen 45","360","20"
"2er WG","München Schwabing-Freimann","Marktstrasse 1","600","14"
"3er WG","München Ludwigsvorstadt-Isarvorstadt","Wittelsbacherstrasse","560","10"
"3er WG","München Maxvorstadt","Linprunstr. 44","550","20"
"3er WG","München Maxvorstadt","Linprunstr. 44","700","24"
"3er WG","München Ludwigsvorstadt-Isarvorstadt","Senefelderstr, 5","350","25"
"2er WG","München Obergiesing","Edelweißstraße 4","878","22"
"3er WG","München München - Thalk.Obersendl...","Engadinerstr.","650","24"
"2er WG","München Schwanthalerhöhe-Laim","Aldegreverstr 20","500","15"
"3er WG","München Olympiadorf","Nadistr.","570","18"
"1-Zimmer-Wohnung","München Au-Haidhausen","Nockherstr.","1054","40"
"2er WG","München bei Implerstr.","Danklstr.","566","4"
"2er WG","München Oberschleiheim","Am Schäferangerstraße 9","310","16"
"1-Zimmer-Wohnung","München Neuhausen-Nymphenburg","Merianstraße 8","600","20"
"3er WG","München Berg am Laim","Baumkirchner Straße","30","10"
"3er WG","München Maxvorstadt","Enhuberstraße","840","18"
"6er WG","München Altstadt-Lehel","Sendlinger Str. 7","895","12"
"3er WG","München Feldmoching-Hasenbergl","Herbergstr. 12","650","25"
"2er WG","München Bogenhausen","Wagenbauerstraße","550","15"
"5er WG","München Bogenhausen","Maria-Theresia-Straße 20","195","14"
"3er WG","München München","Prinzregentenstraße, 112","650","21"
"2er WG","München Bogenhausen","Hörselbergstr. 14","550","15"
"2er WG","München Au-Haidhausen","Weissenburgerstr 32","900","15"
"3er WG","München Neu Forstenried Maxhof","Allgäuer Straße 00-99","580","18"
"7er WG","München Schwabing-Freimann","Ungererstraße 23","250","15"
"7er WG","München Schwabing-Freimann","Ungererstraße 23","250","15"
"1-Zimmer-Wohnung","München Ramersdorf-Perlach","Karl-Marx Ring 46","750","26"
"3er WG","München Allach-Untermenzing","Vogelloh 13","505","11"
"3er WG","München Trudering","Am hochstand 22","450","20"
"3er WG","München Schwabing-Freimann","Aumeister","600","15"
"1-Zimmer-Wohnung","München Maxvorstadt","Barerstraße 34","950","25"
"2er WG","München Ludwigsvorstadt-Isarvorstadt","Implerstraße 55","890","18"
"10er WG","München Untergiesing-Harlaching","Theodolindenstraße 24","450","10"
"3er WG","München Schwabing-Freimann","Kunigundenstrasse","700","14"
"2er WG","München Altstadt-Lehel","Prinzregentenstraße","1100","15"
"1-Zimmer-Wohnung","München München","Valpichlerstraße 15b","990","29"
"2er WG","München Trudering","Georg-Kerschensteiner-Str...","749","10"
"4er WG","München Thalkirchen-Obersendling","Hofmannstraße","425","14"
"3er WG","München Ludwigsvorstadt-Isarvorstadt","Augsburgerstraße","760","21"
"3er WG","München Maxvorstadt","Winzererstrasse 56","800","20"
"1-Zimmer-Wohnung","München Schwabing-Freimann","Josef-Wirth-Weg 21","660","22"
"3er WG","München Obergiesing","Tegernseer Landstr. 24","650","24"
"9er WG","München Allach-Untermenzing","Lauthstrasse 1","540","8"
"9er WG","München Allach-Untermenzing","Lauthstrasse 1","550","9"
"3er WG","München Moosach","Netzerstrasse 65","780","11"
"5er WG","München Ramersdorf-Perlach","Alfred-Neumann-Anger 10","675","11"
"4er WG","München Pasing-Obermenzing","Agricolastr. 58","675","13"
"3er WG","München Pasing","Gräfstr. 72","675","14"
"1-Zimmer-Wohnung","München Forstenried-Fürstenried","Kreuzhofstr. 10","925","30"
"3er WG","München Sendling-Westpark","Drachenseestr","517","11"
"3er WG","München Moosach","Alzeyer Straße 9","600","12"
"2er WG","München Münchner Freiheit","Ungererstr.","475","19"
"1-Zimmer-Wohnung","München Ramersdorf-Perlach","Kurt-Eisner-Straße, 41","750","36"
"2er WG","München Sendling","Implerstrasse","765","19"
"2er WG","München Untergiesing-Harlaching","Peißenbergstr.9","600","13"
"2er WG","München Neuhausen-Nymphenburg","Bayersdorferstraße, 8","600","16"
"1-Zimmer-Wohnung","München Schwabing-West","Rümannstr.","750","32"
"2er WG","München Au-Haidhausen","Haushausen","140","34"
"2er WG","München Au-Haidhausen","Innere Wiener Straße 10","550","14"
"3er WG","München Allach-Untermenzing","Bergetstraße 16","500","11"
"3er WG","München Ramersdorf-Perlach","Am Graben 60","790","35"
"4er WG","München Au-Haidhausen","Flurstr. 2","655","12"
"3er WG","München Bogenhausen","Steinhauserstrasse 27","605","18"
"3er WG","München Schwabing-West","Winzererstrasse","750","23"
"3er WG","München Schwabing-West","Winzererstrasse","526","15"
"2er WG","München Unterhaching","Fasanenstraße","350","12"
"5er WG","München Ludwigsvorstadt-Isarvorstadt","Tumblingerstraße 17","790","15"
"2er WG","München Schwabing-West","Scheidplatz 132","675","17"
"10er WG","München Thalkirchen-Obersendling","Kistlerhofstraße 144","627","21"
"1-Zimmer-Wohnung","München Milbertshofen-Am Hart","straßbergerstr, XX","840","47"
"7er WG","München Westpark","Waldfriedhofstraße 77","749","28"
"5er WG","München Schwabing-Freimann","Grusonstr. 20","495","17"
"2er WG","München Au-Haidhausen","Michael Huber Weg, 22","900","19"
"3er WG","München in der Nähe des Neuperlac...","Gerhart-Hauptmann-Ring 11","750","20"
"2er WG","München Waldperlach","Ulrich-Von-Hutten str 11","520","20"
"3er WG","München Trudering","Stockholmstraße 58","770","18"
"3er WG","München Trudering","Stockholmstraße 58","795","21"
"3er WG","München Trudering","Stockholmstraße 58","695","16"
"3er WG","München München","Preziosastraße, 15a","700","13"
"5er WG","München Schwanthalerhöhe-Laim","Willibaldplatz","650","16"
"6er WG","München Schwanthalerhöhe-Laim","Willibaldplatz","700","17"
"2er WG","München Neuhausen-Nymphenburg","Rüdigerstraße","650","14"
"12er WG","München Aubing-Lochhausen-Langwied","Kallenbergstr. 28","499","10"
"2er WG","München Schwabing-West","Düsseldoprferstr.20","700","23"
"3er WG","München Feldmoching-Hasenbergl","Rudbeckiastraße 10","505","15"
"4er WG","München Aubing-Lochhausen-Langwied","Hittoweg 27","670","25"
"2er WG","München Neuhausen-Nymphenburg","Sedlmayrstraße 1","808","16"
"3er WG","München Hadern","Altenastraße 10","702","31"
"2er WG","München Milbertshofen-Am Hart","Maßliebchenstr.15c","750","20"
"3er WG","München Sendling","Wird später bekannt gegeb...","550","15"
"5er WG","München Sendling-Westpark","Werdenfelsstraße","560","14"
"1-Zimmer-Wohnung","München Neuhausen-Nymphenburg","Merianstraße 8","500","20"
"3er WG","München Neuhausen-Nymphenburg","Artilleriestrasse 13","566","18"
"2er WG","München Neuhausen-Nymphenburg","Jutastr. 11","540","14"
"5er WG","München Neuhausen-Nymphenburg","Jutastrasse 11","635","22"
"4er WG","München Neuhausen-Nymphenburg","Jutastrasse 11","655","24"
"4er WG","München Obergiesing","Brünnsteinstr. 10","640","19"
"4er WG","München Obergiesing","Brünnsteinstr. 10","660","20"
"5er WG","München Ludwigsvorstadt-Isarvorstadt","Häberlstrasse","600","22"
"2er WG","München Schwabing","Schleißheimer Straße 187","800","20"
"2er WG","München Obergiesing","Untere Grasstr.2","725","16"
"2er WG","München Schwabing-West","Schleißheimerstraße","603","21"
"2er WG","München Neuhausen-Nymphenburg","Renatestr. 3","840","15"
"2er WG","München Bogenhausen","Elektrastraße.15","800","20"
"3er WG","München Untergiesing-Harlaching","Gerhardstr. 31","490","15"
"11er WG","München Forstenried-Fürstenried","Forstenrieder Allee 156","740","25"
"2er WG","München Obergiesing","Rotwandstraße","623","16"
"4er WG","München Maxvorstadt","Maxvorstadt","600","23"
"3er WG","München Milbertshofen-Am Hart","Georgenschwaigstr.28","700","20"
"1-Zimmer-Wohnung","München Neuhausen-Nymphenburg","Landshuter Allee 79","900","24"
"3er WG","München Untergiesing-Harlaching","Am Perlacher Forst 196","540","16"
"2er WG","München Milbertshofen","Korbinianplatz, 2d","600","14"
"3er WG","München Au-Haidhausen","Belfortstr.6","420","10"
"3er WG","München Au-Haidhausen","Belfortstr. 6","845","18"
"3er WG","München Au-Haidhausen","Belfortstr.6","600","18"
"2er WG","München Trudering","Kreillerstr.","500","15"
"4er WG","München Au-Haidhausen","Belfortstr. 6","1005","28"
"3er WG","München Pasing-Obermenzing","Weingartnerstr., 29","580","19"
"3er WG","München Untermenzing","Wollnystr. 1","490","18"
"3er WG","München Untermenzing","Wollnystr. 1","490","18"
"1-Zimmer-Wohnung","München Au-Haidhausen","Weißenburgerstraße","730","27"
"2er WG","München Schwabing-West","Herzogstr","685","15"
"4er WG","München Hadern","Haderunstraße","395","12"
"3er WG","München Ludwigsvorstadt-Isarvorstadt","Schwanthalerstraße 13","900","15"
"5er WG","München Milbertshofen-Am Hart","Wachterstr. 11","450","17"
"3er WG","München Sendling","Spitzwegstraße 13","890","25"
"2er WG","München München","Fallstraße, 24","775","18"
"3er WG","München Schwabing-West","Hiltensperger-Straße 5","500","13"
"4er WG","München Neuhausen-Nymphenburg","Ruffinistraße 10","732","21"
"3er WG","München Ludwigsvorstadt-Isarvorstadt","Häberlstraße 16","670","14"
"2er WG","München Ramersdorf-Perlach","Karl-Marx-Ring","1000","30"
"8er WG","München Obergiesing","Bacherstraße 10","500","13"
"3er WG","München Neuhausen-Nymphenburg","Maximilian-Wetzger-Straße 5","600","14"
"1-Zimmer-Wohnung","München Au-Haidhausen","Kirchseeonerstr. 1","830","23"
"3er WG","München Bogenhausen","Titurelstraße 2","880","14"
"2er WG","München Au-Haidhausen","Falkenstr","850","16"
"3er WG","München Forstenried-Fürstenried","Solothurner Str. 26","400","15"
"2er WG","München Bogenhausen","Wesendonkstr.35","900","16"
"1-Zimmer-Wohnung","München Bogenhausen","Wesendonkstr.35","900","106"
"1-Zimmer-Wohnung","München Ludwigsvorstadt-Isarvorstadt","Tumblingerstr. 54/56","840","27"
"1-Zimmer-Wohnung","München Ludwigsvorstadt-Isarvorstadt","Tumblingerstr. 54/56","830","26"
"3er WG","München Sendling-Westpark","Einhornallee 14","570","14"
"2er WG","München Sendling","Albert-Roßhaupterstraße 72","755","13"
"3er WG","München Moosach","Hanauer Str. 25","640","14"
"4er WG","München Westpark","Nebelhornstraße","515","15"
"1-Zimmer-Wohnung","München Ramersdorf-Perlach","Görzerstraße 110","880","35"
"4er WG","München Aubing-Lochhausen-Langwied","Bergsonstraße","460","12"
"4er WG","München Moosach","Pickelstraße","485","8"
"3er WG","München Milbertshofen-Am Hart","Milbertshofener Straße 7b","590","11"
"2er WG","München Pasing-Obermenzing","Planegger Str. 00","650","37"
"4er WG","München Ludwigsvorstadt-Isarvorstadt","Häberlstraße 10","840","24"
"1-Zimmer-Wohnung","München Maxvorstadt","Auenstr. 22","900","40"
"2er WG","München Schwabing-West","Zittelstr 5","680","25"
"5er WG","München München - Germering","Straße 19","500","20"
"3er WG","München Pasing-Obermenzing","Maierhofstr.","700","17"
"2er WG","München Obergiesing","Amerstorfferstraße","655","18"
"2er WG","München Neuhausen-Nymphenburg","Hirschbergstr","700","17"
"4er WG","München Ludwigsvorstadt-Isarvorstadt","Häberlstraße 10","810","17"
"4er WG","München Ludwigsvorstadt-Isarvorstadt","Häberlstrasse 10 Am Goet...","870","22"
"2er WG","München Obergiesing","Schwanseestraße","500","15"
"6er WG","München Pasing","Am Krautgarten 11","466","18"
"1-Zimmer-Wohnung","München Sendling","Brudermühlstraße 9","880","54"
"4er WG","München Ludwigsvorstadt-Isarvorstadt","Landwehrstraße","390","15"
"4er WG","München Harlaching","Geiselgasteigstr. 62","725","30"
"4er WG","München Harlaching","Geiselgasteigstr. 62","675","25"
"4er WG","München Bogenhausen","Kirchheimer-Str. 11","575","11"
"2er WG","München Schwabing-West","Schleißheimer Straße 203","599","17"
"4er WG","München Sendling","Karwendelstraße","370","9"
"3er WG","München Norden","Graslilienanger","500","14"
"4er WG","München Schwanthalerhöhe-Laim","Westendstr. 15","620","10"
"4er WG","München Untergiesing-Harlaching","Reichenhaller Straße, 8","500","12"
"2er WG","München Schwanthalerhöhe","Kiliansplz 2","689","21"
"3er WG","München Schwanthalerhöhe-Laim","Friedenheimer Str. 41","501","13"
"3er WG","München Schwanthalerhöhe-Laim","Astallerstraße","860","17"
"2er WG","München Trudering","Edeltraudstraße","650","23"
"3er WG","München Schwabing-West","Cherubinistrasse 2","800","19"
"4er WG","München Sendling","Fallstraße","680","16"
"4er WG","München Ludwigsvorstadt-Isarvorstadt","Rothmundstraße","815","17"
"1-Zimmer-Wohnung","München Schwabing-West","Lerchenauer Straße 27","850","33"
"4er WG","München Obergiesing","Schwannseestraße 10","428","16"
"4er WG","München Untergiesing-Harlaching","Alemannenstraße","720","20"
"5er WG","München Schwanthalerhöhe-Laim","Baudererstr. 13","780","23"
"2er WG","München Schwabing-Freimann","Leutkircher Straße","750","15"
"3er WG","München Schwabing-Freimann","Leutkircher Straße","750","13"
"2er WG","München Moosach","Bunzlauer Str. 11","480","10"
"3er WG","München Neuhausen-Nymphenburg","Wintherstr.10A","760","28"
"3er WG","München Milbertshofen-Am Hart","Motorstraße 43","790","17"
"5er WG","München Hadern","Petunienweg 1c","700","18"
"3er WG","München Neuhausen-Nymphenburg","Nibelungenstr. 11","590","20"
"3er WG","München Sendling","Fallstr. 26","730","16"
"2er WG","München Bogenhausen","Meistersinger 1","400","12"
"3er WG","München Riem","edinburghplatz 51","700","35"
"1-Zimmer-Wohnung","München Neuhausen-Nymphenburg","Wird später genannt.","735","25"
"4er WG","München Schwanthalerhöhe-Laim","Schwanthaler Str. 166","580","15"
"1-Zimmer-Wohnung","München Sendling","Baierbrunnerstrasse, 44","700","21"
"2er WG","München Solln","Spindlerstraße","850","20"
"6er WG","München Maxvorstadt","Görresstraße 35","609","12"
"4er WG","München Ramersdorf-Perlach","Hechtseestr 53","890","36"
"4er WG","München München - Sendling","Karwendelstr. 38-40","845","20"
"1-Zimmer-Wohnung","München Untergiesing-Harlaching","Nähe Isarauen","1130","38"
"3er WG","München Maxvorstadt","Erika-Mann-Straße","400","18"
"2er WG","München Westpark","Westendstr.","550","16"
"1-Zimmer-Wohnung","München Schwabing-West","Bauerstr.","1200","31"
"3er WG","München Schwabing-West","Kurfürstenstr","530","11"
"2er WG","München Au-Haidhausen","Auerfeldstr. 9","950","40"
"1-Zimmer-Wohnung","München Sendling","Linderhofstr.","750","19"
"2er WG","München Thalkirchen-Obersendling","Kistlerhofstr. 199","440","9"
"3er WG","München Forstenried","Fatimastr., 39","650","20"
"1-Zimmer-Wohnung","München Neuhausen-Nymphenburg","Romansplatz","720","35"
"5er WG","München Oberschleiheim","Mittenheim 9","524","15"
"2er WG","München Au-Haidhausen","Dollmannstr.","678","20"
"3er WG","München Schwabing-West","Sulzbacher Straße 10","460","16"
"5er WG","München München","Hanauer Straße 25","750","15"
"3er WG","München Moosach","Hanauer Straße 25","850","26"
"3er WG","München Sendling","Spitzwegstraße","890","25"
"4er WG","München Schwabing-West","Isabellastraße","590","24"
"4er WG","München Obergiesing","Spixstr. 21","681","12"
"3er WG","München München","Hamburger straße 30","550","15"
"2er WG","München Neuhausen-Nymphenburg","Hedwigstr. 7","640","13"
"3er WG","München Sendling","Jachenauerstraße 9","557","18"
"3er WG","München Sendling","Sachsenkamstraße","435","8"
"3er WG","München Au-Haidhausen","Sommerstraße 3","650","14"
"3er WG","München Bogenhausen","Trogerstraße 27","550","17"
"4er WG","München München - Untergiesing-Ha...","Bruggspergerstraße 11","740","22"
"2er WG","München Thalkirchen-Obersendling","Tölzer str. 4b","550","24"
"2er WG","München Schwabing-Freimann","Brettenerstrasse, 11","700","15"
"2er WG","München West Schwabing","Hiltensperger Straße","750","19"
"3er WG","München Schwabing-West","Hohenzollernstraße","587","11"
"2er WG","München Westpark","Elmauer Str. 12","600","22"
"4er WG","München Maxvorstadt","Schleißheimer Straße","650","20"
"3er WG","München Sendling","Implerstr 53a","675","14"
