"type","city","street","cost","area"
"1-Zimmer-Wohnung","Berlin Charlottenburg-Wilmersdorf","Schillerstr. 22","710","32"
"3er WG","Berlin Mitte","Otawistr. 32","697","17"
"3er WG","Berlin Wedding","Reinickendorfer Straße","700","18"
"6er WG","Berlin Siemensstadt","Schuckertplatz 5","500","20"
"3er WG","Berlin Fredersdorf","Floraring Süd 3","290","12"
"3er WG","Berlin schoneweide","Fennstrasse","470","20"
"3er WG","Berlin Wedding","Schönwalder Str. 22","420","26"
"4er WG","Berlin Charlottenburg","Hohenzollerndamm 63","490","18"
"2er WG","Berlin Charlottenburg","Krumme Str.","380","13"
"2er WG","Berlin Prenzlauer Berg","Greifenhagener Str. 57","320","18"
"2er WG","Berlin Treptow","Am Treptower Park","420","16"
"1-Zimmer-Wohnung","Berlin Friedrichshain","Simon-Dach-str. 24","900","60"
"3er WG","Berlin Lichtenberg","Eitelstrasse.16","520","20"
"2er WG","Berlin Friedrichshain-Kreuzberg","Str. der Pariser Kommune ...","450","12"
"2er WG","Berlin Adlershof","Büchnerweg 69","300","23"
"6er WG","Berlin Neukölln","Erkstraße","625","18"
"6er WG","Berlin Neukölln","Erkstraße","600","16"
"6er WG","Berlin Neukölln","Erkstraße","495","13"
"6er WG","Berlin Neukölln","Erkstrasse","650","20"
"1-Zimmer-Wohnung","Berlin Neukölln","Erkstraße","940","40"
"3er WG","Berlin Kreuzberg","Görlitzer Str.","440","15"
"3er WG","Berlin Kreuzberg","Alexandrinenenstr.Ecke Gi...","600","15"
"2er WG","Berlin Friedenau","Peschkestr. 6","400","20"
"2er WG","Berlin Charlottenburg","Olbersstraße","400","12"
"2er WG","Berlin Kreuzberg","Potsdamer Platz","350","17"
"2er WG","Berlin Neukölln","Sülzhayner Straße 30","450","17"
"1-Zimmer-Wohnung","Berlin Neukölln","Schierker Straße","550","34"
"2er WG","Berlin Wilmersdorf","Hohenzollerndamm 48","380","17"
"4er WG","Berlin Wedding","Freienwalder Str.","332","12"
"4er WG","Berlin Friedrichshain","Stralauer Allee 36","620","25"
"1-Zimmer-Wohnung","Berlin Wedding","Gerichtstr.","595","20"
"2er WG","Berlin Hohenschönhausen","Konrad-Wolff-Straße 1","450","20"
"3er WG","Berlin Kreuzberg","Obentrautstrasse","470","12"
"2er WG","Berlin Tempelhof","Attilagarten","500","13"
"2er WG","Berlin Lichtenrade","goethestr.18","360","12"
"2er WG","Berlin Wedding","Reinickendorfer Straße","505","14"
"2er WG","Berlin Schöneberg","Feurigstr. 19, HH, SFL","400","16"
"4er WG","Berlin Kreuzberg","Obentrautstraße 25","550","12"
"1-Zimmer-Wohnung","Berlin Prenzlauer Berg","Paul-Robeson-Str. 19","30","36"
"2er WG","Berlin Kreuzberg","Gorlitzer St","600","35"
"3er WG","Berlin Spandau","Krowelstr. 30","485","18"
"1-Zimmer-Wohnung","Berlin Steglitz","Steglitzer Damm 90","400","36"
"4er WG","Berlin Dahlem","Schwendenerstraße 13","250","20"
"4er WG","Berlin Spandau","Körnerstraße 11","580","25"
"3er WG","Berlin Friedrichshain","Niederbarnimstraße 22","620","19"
"1-Zimmer-Wohnung","Berlin Neukölln","Mareschstr","600","42"
"2er WG","Berlin Neukölln","Warthestraße","465","17"
"10er WG","Berlin Dahlem","Pücklerstraße 24","240","20"
"1-Zimmer-Wohnung","Berlin Lichtenberg","Frankfurter Allee","630","31"
"6er WG","Berlin Dahlem","Schwendenerstr.","295","20"
"2er WG","Berlin Friedenau","Fregestr","600","30"
"3er WG","Berlin kreuzberg","Görlitzer dst","480","24"
"2er WG","Berlin Moabit","Jagowstr","350","72"
"2er WG","Berlin Gesundbrunnnen nähe Mitte","Bellermannstr. 93","640","13"
"2er WG","Berlin Neukölln","Richardstrasse/Richardplatz","590","16"
"2er WG","Berlin Steglitz-Zehlendorf","Ahrenshooper Zeile 18","480","30"
"1-Zimmer-Wohnung","Berlin Karlshorst","aristotelessteig 2","350","20"
"2er WG","Berlin Prenzlauer Berg","Storkower Str. 161","400","12"
"2er WG","Berlin Friedrichshain","Krossener Str.","680","24"
"1-Zimmer-Wohnung","Berlin Lichtenberg","Sewanstraße 217","600","45"
"3er WG","Berlin Prenzlauer Berg","Otto-Braun-Str. 77","650","24"
"1-Zimmer-Wohnung","Berlin Neukölln","Ilsenhof 16","532","20"
"4er WG","Berlin Schöneberg","Innsbrucker Straße","450","14"
"2er WG","Berlin Steglitz-Zehlendorf","Schildhorn Str.","350","6"
"2er WG","Berlin Kreuzberg-Mitte","-","700","19"
"2er WG","Berlin Steglitz","Kniephofstr. 3a","450","17"
"2er WG","Berlin Wedding","Müllerstr.","290","25"
"3er WG","Berlin Pankow","Bleicheroder Str. 15E","520","19"
"1-Zimmer-Wohnung","Berlin Mitte","Nahe U-Bahn Hansaplatz U 9","600","34"
"3er WG","Berlin Friedrichshain","Strausberger Straße 3","441","19"
"2er WG","Berlin Kaulsdorf","Dorfstraße 31c","530","16"
"3er WG","Berlin Charlottenburg","Neue Kantstr. 31","440","17"
"4er WG","Berlin Oberschöneweide","Wilhelminenhofstraße 29","445","10"
"3er WG","Berlin Friedrichshain","Seumestraße 2","584","12"
"3er WG","Berlin Charlottenburg","Tegler Weg 25","425","20"
"3er WG","Berlin Friedrichshain","Simon-Dach-Str. 22","680","20"
"2er WG","Berlin Neukölln","Donaustr. 40","650","27"
"2er WG","Berlin Friedrichshain","Boxhagener","700","25"
"3er WG","Berlin Kreuzberg","Bergmannstrasse","580","28"
"2er WG","Berlin Prenzlauer Berg","Greifenhagener Str. 12","380","26"
"4er WG","Berlin Rummelsburg","Rupprechtstr.","620","22"
"3er WG","Berlin Prenzlauer Berg","Lychener Straße","460","24"
"2er WG","Berlin Wedding","Samoastr.","300","16"
"2er WG","Berlin Prenzlauer Berg","Kastanienallee","600","16"
"2er WG","Berlin Weißensee","Charlottenburger Str. 54","600","18"
"4er WG","Berlin Kreuzberg","Oranienplatz","495","15"
"3er WG","Berlin Mitte","Tieckstr. 1","600","28"
"2er WG","Berlin Pankow","Florapromenade 9","320","9"
"2er WG","Berlin Mitte","Torstrasse 99","550","30"
"1-Zimmer-Wohnung","Berlin Mitte","Köpenicker str. 43","700","21"
"1-Zimmer-Wohnung","Berlin Lichtenberg","Balatonstr. 1 / 1a","600","24"
"2er WG","Berlin Wedding","Samoastraße 13","427","22"
"1-Zimmer-Wohnung","Berlin Mitte","Alex-Wedding Straße 3","550","30"
"3er WG","Berlin Prenzlauer Berg","Behmstraße 73","500","20"
"3er WG","Berlin Friedrichshain","Müggelstr.","400","21"
"5er WG","Berlin Prenzlauer Berg","Danziger Straße 80C","205","11"
"2er WG","Berlin Wilhelmsruh","Hauptstraße, 33","450","20"
"9er WG","Berlin Wedding","Reinickendorfer Str. 92","323","13"
"3er WG","Berlin Berlin","Karl-Marx-Allee, 91","580","29"
"2er WG","Berlin Neukölln","Weisestr.","300","25"
"3er WG","Berlin Wedding","Gerichtstr 19","510","12"
"2er WG","Berlin Lichtenberg","Storkowerstr, 225","250","12"
"17er WG","Berlin Charlottenburg","Cordesstr.","580","22"
"3er WG","Berlin Grünau","Bahnhofstr.85","490","25"
"3er WG","Berlin Mitte","Lehrter Straße","480","20"
"1-Zimmer-Wohnung","Berlin Schöneberg","Nollendorfstr. 20","600","33"
"3er WG","Berlin Mitte","Engeldamm","550","27"
"1-Zimmer-Wohnung","Berlin Berlin","Weichselstr. 13","750","40"
"12er WG","Berlin Friedrichshain","Knorrpromenade","15","15"
"1-Zimmer-Wohnung","Berlin Pankow","Mühlenstraße 25","650","26"
"1-Zimmer-Wohnung","Berlin Pankow","Mühlenstraße 25","850","34"
"3er WG","Berlin Moabit","Stephanstraße","480","21"
"2er WG","Berlin Wedding","Ritterlandweg 54","100","12"
"2er WG","Berlin Kreuzberg","Urbanstr","500","20"
"6er WG","Berlin Spandau","Lutherstraße 18","550","26"
"1-Zimmer-Wohnung","Berlin Wedding","Buttmannstr. 11","700","40"
"2er WG","Berlin Wedding","Stockholmer Str.","697","24"
"3er WG","Berlin Kreuzberg","Köpenicker Str., 159","430","20"
"3er WG","Berlin Friedenau","Dürerplatz","500","14"
"3er WG","Berlin Mitte","Krausenstrasse","600","15"
"2er WG","Berlin Kreuzberg / BergmannKiez","Bergmannstrasse 2-3","380","14"
"4er WG","Berlin Tiergarten","Wullenweber Straße 8","550","20"
"1-Zimmer-Wohnung","Berlin Moabit","Lehrter Straße 24b","850","24"
"7er WG","Berlin Lichterfelde","Tietzenweg","237","16"
"2er WG","Berlin Lichtenberg","Normannenstr. 10 A","497","20"
"2er WG","Berlin Biesdorf","Hanoier Str. 2","650","15"
"2er WG","Berlin Wedding","Soldiner Straße","450","17"
"1-Zimmer-Wohnung","Berlin Mahlsdorf","Mahlsdorf Süd","600","34"
"1-Zimmer-Wohnung","Berlin Mahlsdorf","Mahlsdorf Süd","600","34"
"4er WG","Berlin Tiergarten","Wullenweber Straße 8","550","20"
"2er WG","Berlin Kreuzberg","Reichenbergerstrasse 00","550","20"
"3er WG","Berlin Kreuzberg","Urbanstraße 171a","600","25"
"2er WG","Berlin Berlin","Kaiser-Friedrich-Straße","450","16"
"4er WG","Berlin Rudow","Neudecker Weg","350","11"
"4er WG","Berlin Charlottenburg","Kaiserin-Augusta-Allee","380","24"
"3er WG","Berlin Weißensee","Heinersdorfer Strasse 51","480","18"
"2er WG","Berlin Prenzlauer Berg","Beim Kollwitzplatz","29","13"
"2er WG","Berlin Friedrichshain-Kreuzberg","Franz Mehring Platz 3","280","14"
"3er WG","Berlin Reinickendorf","Walliser Str. 7","600","18"
"3er WG","Berlin Kreuzberg","48F","300","33"
"3er WG","Berlin Kreuzberg","Admiral Straße","460","15"
"3er WG","Berlin Mitte","alexanderstr, 31","350","14"
"3er WG","Berlin Neukölln","Emser Str.","250","16"
"3er WG","Berlin Spandau","Genfenberg str. 4","480","20"
"6er WG","Berlin Neukölln","Karl-Marx-Straße 223","537","16"
"2er WG","Berlin Wedding","Pasewalker Str. 2","300","20"
"4er WG","Berlin Prenzlauer Berg","Stavangerstr","632","23"
"2er WG","Berlin Mitte","Schröder Straße 2","600","25"
"3er WG","Berlin Marzahn","Trusetaler Straße 88","500","20"
"2er WG","Berlin Kreuzberg","Tempelherrenstraße","420","18"
"2er WG","Berlin Gesundbrunnen","Buttmannstrasse 13","450","30"
"1-Zimmer-Wohnung","Berlin Schöneberg","Winterfeldtstraße 58","365","32"
"4er WG","Berlin Friedrichshain","Kinzigstraße 4","400","16"
"4er WG","Berlin Charlottenburg","Fritschestr. 43A","450","14"
"3er WG","Berlin Friedrichshain-Kreuzberg","Warschauer Strasse 45","440","20"
"3er WG","Berlin Siemensstadt","Quellweg","436","18"
"1-Zimmer-Wohnung","Berlin Charlottenburg","Wilmersdorferstr.133","840","32"
"3er WG","Berlin Wedding","Nazarethkirchstraße 51","560","12"
"2er WG","Berlin Neukölln","Werrastr. 36","550","20"
"4er WG","Berlin Wedding","Nazarethkirchstraße 51","550","10"
"3er WG","Berlin Friedrichshain","Corinthstrasse 64","20","12"
"3er WG","Berlin Mitte/Wedding","Themsestraße","599","16"
"2er WG","Berlin Charlottenburg-Wilmersdorf","Bregenzerstr.16","600","24"
"3er WG","Berlin Steglitz-Zehlendorf","Karlplatz 1","670","18"
"2er WG","Berlin Friedrichshain","Am Comeniusplatz","500","21"
"2er WG","Berlin Kreuzberg","Skalitzer Straße 59","650","16"
"3er WG","Berlin Prenzlauer Berg","Bötzowstraße 53","690","25"
"5er WG","Berlin Charlottenburg","Schaumburgstraße 17A","560","12"
"2er WG","Berlin Friedrichshain","Warschauer Straße","600","13"
"3er WG","Berlin Friedrichshain","An den Eldenaer Höfen","850","20"
"2er WG","Berlin Tempelhof-Schöneberg","Strelitzstr. 3","680","28"
"2er WG","Berlin Schöneberg","Großgörschenstr. 17","600","25"
"2er WG","Berlin Lichtenberg","Bürgerheimstr. 25","456","26"
"3er WG","Berlin Wedding","Genter Straße","300","12"
"2er WG","Berlin Charlottenburg","Leibnizstr.","585","23"
"2er WG","Berlin Neukölln","Kiehlufer","500","14"
"2er WG","Berlin Zehlendorf","Windsteiner Weg 43","420","21"
"1-Zimmer-Wohnung","Berlin Reinickendorf","Wilhelmsruher Damm 224","600","28"
"2er WG","Berlin Prenzlauer Berg","Prenzlauer Allee 51","580","28"
"1-Zimmer-Wohnung","Berlin Charlottenburg-Wilmersdorf","Paulsborner Str 75","1100","40"
"1-Zimmer-Wohnung","Berlin Mitte","Thomasiusstr.17","790","36"
"4er WG","Berlin Fürstenberg / Havel","Bahnhofstr. 31","235","13"
"2er WG","Berlin Charlottenburg","am Richard Wagner Platz","600","25"
"3er WG","Berlin Baumschulenweg","Glanzstr. 12","450","18"
"1-Zimmer-Wohnung","Berlin Prenzlauer Berg","Behmstrasse","520","40"
"3er WG","Berlin Neukölln","Innstrasse 27","650","25"
"2er WG","Berlin Neukölln","Böhmischer Platz","650","20"
"2er WG","Berlin Neukölln","Friedelstraße","540","20"
"3er WG","Berlin Kreuzberg","Oranienstraße","580","17"
"2er WG","Berlin Buckow","Lipschitzallee 68","1","16"
"2er WG","Berlin Friedrichshain","Markgrafendamm 13","600","15"
"4er WG","Berlin Prenzlauer Berg","Jablonskistraße 52","680","14"
"1-Zimmer-Wohnung","Berlin Charlottenburg","Kurfürstendamm 100","850","50"
"2er WG","Berlin Charlottenburg","Horstweg","480","18"
"3er WG","Berlin Berlin","Propststraße / Spandauer...","305","10"
"2er WG","Berlin Köpenick","Lindenstr. 40","500","12"
"2er WG","Berlin Charlottenburg","Pestalozzistraße","475","30"
"1-Zimmer-Wohnung","Berlin Neukölln","Silbersteinstr.90","500","30"
"3er WG","Berlin Kreuzberg","skalitzer straße","95","12"
"3er WG","Berlin Kreuzberg","Adalbertstr. 74","390","20"
"4er WG","Berlin Friedrichshain","Schreinerstraße 55","400","14"
"2er WG","Berlin Friedrichshain","Landsberger Allee","520","20"
"3er WG","Berlin Neukölln","Heidekampweg 102","449","10"
"3er WG","Berlin Mitte","Seydelstraße 9","670","15"
"2er WG","Berlin Mitte","Stallschreiber Str.","650","20"
"3er WG","Berlin Mitte","Brunnenstrasse 39","650","25"
"2er WG","Berlin Mitte","Torstraße 168","210","10"
"3er WG","Berlin Friedrichshain","Gürtelstrasse 34","234","11"
"2er WG","Berlin Berlin","Willi-Sänger-Str.","460","14"
"1-Zimmer-Wohnung","Berlin Spandau","Zeppelinstraße","580","28"
"1-Zimmer-Wohnung","Berlin Prenzlauer Berg","Lychener","690","47"
"3er WG","Berlin Karlshorst","junker-jörg-straße","360","12"
"3er WG","Berlin Tiergarten","Bremer Straße 35","501","16"
"3er WG","Berlin Kreuzberg","Schlesischestr.6","520","40"
"4er WG","Berlin Charlottenburg","Horstweg 2","400","11"
"1-Zimmer-Wohnung","Berlin Prenzlauer Berg","Erich-Weinert-Str.","600","42"
"4er WG","Berlin Wedding","Sparrstraße 19","550","25"
"2er WG","Berlin Prenzlauer Berg","Grellstr. 58","550","26"
"2er WG","Berlin Neukölln","Hermannstraße 125-130","500","18"
"1-Zimmer-Wohnung","Berlin Prenzlauer Berg","Gaudystraße 13","949","35"
"4er WG","Berlin Rudow","Weg XX","590","27"
"2er WG","Berlin Adlershof","Waldstraße","550","26"
"3er WG","Berlin Adlershof","Waldstraße","380","17"
"2er WG","Berlin Neukölln","Schillerpromenade 30","450","28"
"1-Zimmer-Wohnung","Berlin Kreuzberg","Stresemannstraße 64","1050","47"
"2er WG","Berlin Treptow","Rethelstrasse","480","20"
"1-Zimmer-Wohnung","Berlin Neukölln","Selkestr. 28","650","45"
"6er WG","Berlin Berlin","Berliner Straße 159","685","26"
"4er WG","Berlin Charlottenburg","Bornimer Straße","430","18"
"3er WG","Berlin Prenzlauer Berg","Prenzlauer Promenade 160","499","11"
"2er WG","Berlin Neukölln","Sonnenallee / Aronsstraße","500","10"
"4er WG","Berlin Neukölln","Kopfstrasse 46","360","12"
"3er WG","Berlin Friedrichshain","Petersburger Str. 5","632","20"
"2er WG","Berlin Schöneberg","Katzlerstr","500","21"
"2er WG","Berlin Mitte","Gipsstr. 12","560","28"
"2er WG","Berlin Mitte-West","Cicerostr 54","560","10"
"5er WG","Berlin Moabit","Perleberger Str./Stendale...","700","23"
"2er WG","Berlin Kreuzberg","Skalizer Straße 46","650","26"
"3er WG","Berlin Neukölln","Braunschweiger Str. 60","350","7"
"3er WG","Berlin Charlottenburg-Wilmersdorf","Weimarische Straße","570","36"
"2er WG","Berlin Zehlendorf","Charles H King Str 23","450","18"
"1-Zimmer-Wohnung","Berlin Wedding","Seestr","520","30"
"1-Zimmer-Wohnung","Berlin Prenzlauer Berg","Prenzlauer Promenade, 184","425","38"
"1-Zimmer-Wohnung","Berlin Gesundbrunnen","Bärbel-Bohley-Ring 26","630","21"
"3er WG","Berlin Prenzlauer Berg","Zionskirchstr. 14","595","20"
"5er WG","Berlin Neukölln","Zeitzerstraße 5","450","13"
"5er WG","Berlin Neukölln","hobrecht","311","16"
"2er WG","Berlin Friedrichshain","Landsberger Allee 102","780","20"
"2er WG","Berlin","wassertor str 20","500","17"
"2er WG","Berlin Wedding","Türkenstraße","480","16"
"3er WG","Berlin Mitte","bergstrasse 19","450","18"
"2er WG","Berlin Charlottenburg-Wilmersdorf","Salzbrunner Str.,","520","20"
"5er WG","Berlin Charlottenburg-Wilmersdorf","Kantstr. 74","700","29"
"2er WG","Berlin Moabit","Kaiserin-Augusta-Allee 29","325","12"
"1-Zimmer-Wohnung","Berlin Neukölln","Wissmannstr","750","32"
"3er WG","Berlin Friedrichshain","Rudolf-Seiffert-Str. 40-60","550","11"
"3er WG","Berlin Neukölln","Sonnenallee","360","10"
"3er WG","Berlin Mitte","Steinstraße","480","20"
"2er WG","Berlin Friedrichshain","Straßmanstraße 18","700","20"
"4er WG","Berlin Mitte","Albrechtstrasse 21","720","21"
"3er WG","Berlin Halensee","Straße","500","20"
"3er WG","Berlin Tiergarten","Dennewitzstraße 05","550","23"
"2er WG","Berlin Charlottenburg","Witzlebenstraße 37","675","17"
"3er WG","Berlin Pankow","48","450","16"
"4er WG","Berlin Neukölln","Kienitzer Str.","580","20"
"3er WG","Berlin Moabit","Wullenweberstr.","600","27"
"4er WG","Berlin Berlin","Dominicusstraße","480","31"
"2er WG","Berlin Friedrichshain","Ebelingstr.","565","16"
"2er WG","Berlin Moabit","Putlitzstrasse 15","300","28"
"5er WG","Berlin Kreuzberg","Alte Jakobstr.121","420","16"
"2er WG","Berlin Wedding","Lynartstraße","370","12"
"2er WG","Berlin Lankwitz","Zietenstr 1","500","18"
"3er WG","Berlin Tiergarten","Bochumer Straße","755","22"
"2er WG","Berlin Mitte","Auguststraße","800","20"
"2er WG","Berlin Moabit","Beusselstraße","530","25"
"2er WG","Berlin Schöneberg","Elßholzstrasse 10","320","6"
"1-Zimmer-Wohnung","Berlin Gesundbrunnen","Gesundbrunnen","690","42"
"3er WG","Berlin Steglitz-Zehlendorf","Auguststraße","490","25"
"2er WG","Berlin Berlin-Johannisthal","Sterndamm","500","18"
"3er WG","Berlin Friedrichshain","Ebertystr., 21","600","30"
"3er WG","Berlin Prenzlauer Berg","0","360","13"
"2er WG","Berlin Friedrichshain","Rigaer Str. 64","510","16"
"1-Zimmer-Wohnung","Berlin Neukölln","Heidelberger Str.","940","42"
"3er WG","Berlin Wedding","Müllerstraße 28","450","20"
"4er WG","Berlin Moabit","Stromstr. 28","350","9"
"2er WG","Berlin Friedrichshain","Karl-Marx-Allee","950","22"
"3er WG","Berlin Kreuzberg","Bergmannstraße","590","36"
"2er WG","Berlin Friedenau","Rheingaustr","500","16"
"3er WG","Berlin Oberschöneweide","Rathenaustraße 28","400","23"
"2er WG","Berlin Halensee","Ringbahnstr 14 Wohnung 16","700","25"
"3er WG","Berlin Halensee","RINGBAHNSTR 14 Berlin Hal...","450","15"
"2er WG","Berlin Halensee","Ringbahnstr nr 14 10711 B...","700","25"
"4er WG","Berlin Charlottenburg","Ringbahnstr 14 Wohnung 3","550","10"
"2er WG","Berlin Halensee","Ringbahnstr. 14 10711 Wg 3","700","25"
"3er WG","Berlin Charlottenburg","Ringbahnstrasse 14 Wg 3","550","10"
"3er WG","Berlin Halensee","Ringbahnstrasse 14 Wg 3","450","10"
"2er WG","Berlin Mitte","Scharnhorststrasse 33/D/","700","25"
"6er WG","Berlin Kreuzberg","schönleinstr","272","19"
"3er WG","Berlin Charlottenburg","Ringbahnstrasse 14 Wg 3","550","15"
"2er WG","Berlin Mitte","Scharnhorststrasse 33 d","700","25"
"2er WG","Berlin Prenzlauer Berg","Schönhauser Allee 52a","750","25"
"2er WG","Berlin Moabit","Beusselstr.4","200","16"
"2er WG","Berlin Treptow","Leiblstr.","550","26"
"2er WG","Berlin Mitte","Soldiner Straße","450","20"
"2er WG","Berlin Prenzlauer Berg","Danziger Straße, 10","750","15"
"3er WG","Berlin Pankow","damerostrasse","550","10"
"2er WG","Berlin Zehlendorf","Lupsteiner Weg, 17","350","19"
"2er WG","Berlin Friedrichshain-Kreuzberg","Wedekindstraße 10","425","17"
"2er WG","Berlin Mitte","Weinbergsweg","660","20"
"3er WG","Berlin Tiergarten","Lützowstraße","535","18"
"2er WG","Berlin Mitte","Fischerinsel 2","440","18"
"2er WG","Berlin Steglitz","Steglitzer Damm 49 c","605","24"
"2er WG","Berlin Berlin","Koloniestr. 69","400","18"
"6er WG","Berlin Gesundbrunnen","Koloniestr. 78","450","17"
"3er WG","Berlin Kreuzberg","Mehringdamm","500","22"
"1-Zimmer-Wohnung","Berlin Kreuzberg","Oranienstraße 68","600","39"
"3er WG","Berlin Tempelhof","Ringbahnstraße 68","500","14"
"5er WG","Berlin Staaken","Georg-Schroeder-Str., 3A","420","17"
"8er WG","Berlin Spandau","Brunsbütteler Damm 266","400","11"
"5er WG","Berlin Spandau","Brunsbütteler Damm 266","410","11"
"17er WG","Berlin Mitte","Schwedter Strasse 7","500","14"
"3er WG","Berlin Steglitz","Heinrich-Seidel-Straße","550","25"
"3er WG","Berlin Kreuzberg","Blücherstraße 14, 10961","290","18"
"4er WG","Berlin Mitte","Voltastr. 18b","450","18"
"4er WG","Berlin Charlottenburg","Otto-Suhr-Allee 145","535","16"
"2er WG","Berlin Kreuzberg","Mittenwalder Str.","618","23"
"4er WG","Berlin Charlottenburg","später","400","22"
"1-Zimmer-Wohnung","Berlin Zehlendorf","Kurstraße","520","36"
"2er WG","Berlin Kreuzberg","Tempelherrenstraße","420","18"
"4er WG","Berlin Prenzlauer Berg","Greifswalder Str.","580","19"
"2er WG","Berlin Neukölln","Friedelstraße","440","18"
"3er WG","Berlin Berlin","Karl-Heinrich-Ulrichs-Str...","500","18"
"3er WG","Berlin Tiergarten","Lützowstraße","510","14"
"4er WG","Berlin Wilmersdorf","Brandenburgische Strasse","735","26"
"3er WG","Berlin Prenzlauer Berg","Prenzlauer Allee 136","400","16"
"1-Zimmer-Wohnung","Berlin Neukölln","Michael-Bohnen-Ring 21","600","49"
"3er WG","Berlin Tempelhof-Schöneberg","Tempelhofer Damm 204","499","25"
"3er WG","Berlin Prenzlauer Berg","Wisbyer Str. 59","450","25"
"3er WG","Berlin Lichtenberg","Elli-Voigt-Strasse","550","19"
"8er WG","Berlin Tempelhof","Burgemeisterstrasse 30","610","22"
"2er WG","Berlin Köpenick","Puchanstr. 26","849","63"
"5er WG","Berlin Schöneberg","Grunewaldstraße 48a","385","14"
"2er WG","Berlin Treptow","Baumschulenstrasse","480","25"
"3er WG","Berlin Schöneberg","Kauschstr. 12","400","22"
"1-Zimmer-Wohnung","Berlin Friedenau","Wielandstraße 43a","750","36"
"3er WG","Berlin Wedding","Fehmarnerstr 8","440","26"
"2er WG","Berlin Baumschulenweg","Baumschulenstraße 42","450","25"
"2er WG","Berlin Britz","Bruno-Taut-Ring","450","16"
"1-Zimmer-Wohnung","Berlin Lankwitz","Halbauer Weg 19","180","18"
"3er WG","Berlin Friedrichshain","Modersohnstr","600","15"
"3er WG","Berlin Friedrichshain","Niederbarnimstr., 27","520","15"
"2er WG","Berlin Prenzlauer Berg","Prenzlauer allee 184","677","18"
"3er WG","Berlin Wilmersdorf","Mansfelder Straße 39","550","18"
"2er WG","Berlin Kreuzberg","Eylauer Straße","490","10"
"2er WG","Berlin Neukölln","Pflueger str","550","15"
"2er WG","Berlin Wilmersdorf","Koblenzer Str.","350","20"
"4er WG","Berlin Neukölln","Kienitzer","650","24"
"4er WG","Berlin Schöneberg","Apostel-Paulus-Str. 23","560","17"
"2er WG","Berlin Neukölln","Harzer 39","450","20"
"4er WG","Berlin Lichtenberg","Rupprechtstraße,7","620","20"
"3er WG","Berlin Oberschöneweide","Kilianistr. 14","450","20"
"2er WG","Berlin Charlottenburg","Kaiser-Friedrich-Str.","490","12"
"3er WG","Berlin Schöneberg","Nollendorfstr. 23","500","16"
"1-Zimmer-Wohnung","Berlin Charlottenburg-Wilmersdorf","Eislebener str","600","25"
"3er WG","Berlin Wedding","Koloniestr.","390","18"
"4er WG","Berlin Schöneberg","Kurfürstenstraße 124","450","17"
"4er WG","Berlin Schöneberg","Kurfürstenstraße 124","400","13"
"1-Zimmer-Wohnung","Berlin Prenzlauer Berg","Kastanienallee","550","44"
"1-Zimmer-Wohnung","Berlin Prenzlauer Berg","Kastanienallee","550","44"
"1-Zimmer-Wohnung","Berlin Neukölln","47 herrfurthstrasse","780","32"
"3er WG","Berlin Mitte","Zionskirchstr.","480","20"
"2er WG","Berlin Wedding","Schulstr.","550","22"
"4er WG","Berlin Weißensee","Gustv-Adolf-Straße","425","13"
"4er WG","Berlin Neukölln","Stuttgarter Str.","345","13"
"6er WG","Berlin Moabit","Lübecker Str. 17","475","18"
"4er WG","Berlin Neukölln","Werrastraße -","475","11"
"2er WG","Berlin Wedding","Hochstrasse 44","350","15"
"1-Zimmer-Wohnung","Berlin Wedding","Stettiner Str.","299","15"
"6er WG","Berlin Köpenick","Seelenbinder Str","455","20"
"5er WG","Berlin Wedding","Nahe Kurt Schumacher Platz","425","25"
"2er WG","Berlin Neukölln","Kirchgasse 3","17","20"
"4er WG","Berlin Nikolassee","Am Waldhaus 37","400","30"
"4er WG","Berlin Mitte","Albrechtstraße 21","840","27"
"2er WG","Berlin Mitte","Amsterdamer Str.","390","19"
"2er WG","Berlin Adlershof","Friedlander Str. 143","520","20"
"7er WG","Berlin Prenzlauer Berg","Ystader Straße","570","15"
"5er WG","Berlin Pankow","Prenzlauer Promenade 186","480","10"
"3er WG","Berlin Prenzlauer Berg","Schönhauser Allee 109","750","35"
"2er WG","Berlin Schöneberg","Else-Lasker-Schüler-Straße 5","711","29"
"2er WG","Berlin Neukölln","Aronsstr. 52","500","10"
"3er WG","Berlin Neukölln","Kienitzer Str.","550","27"
"2er WG","Berlin Prenzlauer Berg","Esmarchstraße 25","800","40"
"1-Zimmer-Wohnung","Berlin Wilmersdorf","Wilhelmsaue, 113","800","43"
"3er WG","Berlin Mitte","Hirtenstraße 12","550","16"
"2er WG","Berlin Moabit","Ufnaustr","450","20"
"4er WG","Berlin Baumschulenweg","Stormstraße 1","450","28"
"1-Zimmer-Wohnung","Berlin Lichtenberg","Rhinstraße 83","717","30"
"3er WG","Berlin Kreuzberg","Gneisenaustraße 32","420","10"
"2er WG","Berlin Lichtenberg","Rathausstraße 15","450","10"
"2er WG","Berlin Adlershof","Radickestraße 12","390","18"
"3er WG","Berlin Berlin","Flughafenstrasse, 49","320","12"
"3er WG","Berlin Mitte","Holzmarktstraße","605","16"
"3er WG","Berlin Reinickendorf","Breitkopfstraße","475","16"
"3er WG","Berlin Friedrichshain","Strausberger Platz","514","20"
"3er WG","Berlin Reinickendorf","Breitkopfstr.","500","23"
